date,cash,position,portfolio_value,close,signal,daily_return
2022-09-07,7025022607.879974,8403344315,239041359145.02997,27.61,buy,0.020813910467593125
2022-09-08,7025022607.879974,8403344315,242822864086.77997,28.06,buy,0.015819458838734698
2022-09-09,7025022607.879974,8403344315,257780816967.47998,29.84,hold,0.06160026543198314
2022-09-12,244335466063.47995,0,244335466063.47995,30.93,sell,-0.05215807391011649
2022-09-13,244335466063.47995,0,244335466063.47995,25.84,sell,0.0
2022-09-14,244335466063.47995,0,244335466063.47995,26.42,sell,0.0
2022-09-15,244335466063.47995,0,244335466063.47995,25.09,sell,0.0
2022-09-16,244335466063.47995,0,244335466063.47995,24.6,sell,0.0
2022-09-19,244335466063.47995,0,244335466063.47995,25.19,sell,0.0
2022-09-20,244335466063.47995,0,244335466063.47995,24.59,sell,0.0
2022-09-21,244335466063.47995,0,244335466063.47995,23.24,sell,0.0
2022-09-22,244335466063.47995,0,244335466063.47995,22.38,sell,0.0
2022-09-23,244335466063.47995,0,244335466063.47995,21.31,sell,0.0
2022-09-26,244335466063.47995,0,244335466063.47995,21.02,sell,0.0
2022-09-27,244335466063.47995,0,244335466063.47995,21.04,sell,0.0
2022-09-28,244335466063.47995,0,244335466063.47995,22.27,sell,0.0
2022-09-29,244335466063.47995,0,244335466063.47995,20.39,sell,0.0
2022-09-30,244335466063.47995,0,244335466063.47995,19.32,sell,0.0
2022-10-03,7330063995.279968,10822164478,230915982110.75998,20.66,buy,-0.05492237442612404
2022-10-04,7330063995.279968,10822164478,251694537908.51996,22.58,buy,0.08998318612608391
2022-10-05,7330063995.279968,10822164478,251694537908.51996,22.58,hold,0.0
2022-10-06,233296858295.91995,0,233296858295.91995,22.01,sell,-0.07309526764258494
2022-10-07,233296858295.91995,0,233296858295.91995,19.5,sell,0.0
2022-10-10,233296858295.91995,0,233296858295.91995,18.89,sell,0.0
2022-10-11,233296858295.91995,0,233296858295.91995,18.14,sell,0.0
2022-10-12,233296858295.91995,0,233296858295.91995,18.1,sell,0.0
2022-10-13,233296858295.91995,0,233296858295.91995,19.31,sell,0.0
2022-10-14,6998905753.389954,12030725813,218378758287.79996,17.57,buy,-0.06394471025922466
2022-10-17,6998905753.389954,12030725813,239191913944.28995,19.3,buy,0.09530760143374598
2022-10-18,6998905753.389954,12030725813,244966662334.52997,19.78,hold,0.024142740843593125
2022-10-19,6998905753.389954,12030725813,242079288139.40994,19.54,hold,-0.011786804651716184
2022-10-20,6998905753.389954,12030725813,238109148621.11996,19.21,buy,-0.016400161900689464
2022-10-21,6998905753.389954,12030725813,254470935726.79996,20.57,buy,0.06871549119565716
2022-10-24,6998905753.389954,12030725813,262892443795.89996,21.27,buy,0.033094184391027424
2022-10-25,6998905753.389954,12030725813,278291772836.5399,22.55,hold,0.058576537302819656
2022-10-26,257117695405.65994,0,257117695405.65994,21.06,sell,-0.07608589077233333
2022-10-27,257117695405.65994,0,257117695405.65994,19.9,hold,0.0
2022-10-28,7713530881.539917,11781018636,263361635282.7399,21.7,buy,0.024284364665095346
2022-10-31,7713530881.539917,11781018636,254525871305.7399,20.95,hold,-0.03354992828592553
2022-11-01,246632588819.61993,0,246632588819.61993,20.3,sell,-0.031011709912343047
2022-11-02,246632588819.61993,0,246632588819.61993,18.2,sell,0.0
2022-11-03,246632588819.61993,0,246632588819.61993,17.15,sell,0.0
2022-11-04,246632588819.61993,0,246632588819.61993,17.95,sell,0.0
2022-11-07,246632588819.61993,0,246632588819.61993,18.52,sell,0.0
2022-11-08,246632588819.61993,0,246632588819.61993,18.92,sell,0.0
2022-11-09,7398977671.2699585,11872635789,216357367557.66998,17.6,buy,-0.1227543424283333
2022-11-10,7398977671.2699585,11872635789,262067015345.31995,21.45,buy,0.21126919921257625
2022-11-11,7398977671.2699585,11872635789,276551631007.9,22.67,buy,0.05527065526920287
2022-11-14,7398977671.2699585,11872635789,269428049534.49997,22.07,buy,-0.02575859504945954
2022-11-15,7398977671.2699585,11872635789,279994695386.70996,22.96,hold,0.03921880394586364
2022-11-16,7398977671.2699585,11872635789,268953144102.93997,22.03,hold,-0.03943485882302212
2022-11-17,7398977671.2699585,11872635789,266934796018.80994,21.86,hold,-0.007504459897139282
2022-11-18,262898099850.54996,0,262898099850.54996,21.84,sell,-0.015122405278237041
2022-11-21,262898099850.54996,0,262898099850.54996,21.18,sell,0.0
2022-11-22,7886942999.049957,11565131830,263129402487.14996,22.07,buy,0.0008798185940921408
2022-11-23,7886942999.049957,11565131830,270762389494.94995,22.73,hold,0.029008491394924018
2022-11-25,260006816893.04996,0,260006816893.04996,22.26,sell,-0.03972328882885929
2022-11-28,260006816893.04996,0,260006816893.04996,21.28,sell,0.0
2022-11-29,7800204511.349945,12096240402,259039117660.88995,20.77,buy,-0.0037218225418991714
2022-11-30,7800204511.349945,12096240402,292787628382.47,23.56,buy,0.130283453041098
2022-12-01,7800204511.349945,12096240402,294360139634.73,23.69,buy,0.005370825471511489
2022-12-02,7800204511.349945,12096240402,290973192322.1699,23.41,hold,-0.011506134345373339
2022-12-05,276094816627.70996,0,276094816627.70996,22.23,sell,-0.05113314933145593
2022-12-06,276094816627.70996,0,276094816627.70996,20.82,sell,0.0
2022-12-07,276094816627.70996,0,276094816627.70996,20.57,sell,0.0
2022-12-08,276094816627.70996,0,276094816627.70996,21.3,sell,0.0
2022-12-09,8282844506.069946,12807841804,275838659791.62994,20.89,buy,-0.0009277857484207046
2022-12-12,8282844506.069946,12807841804,285572619562.6699,21.65,buy,0.03528859869893896
2022-12-13,8282844506.069946,12807841804,294281951989.38995,22.33,hold,0.03049778525706572
2022-12-14,275454424537.50995,0,275454424537.50995,21.8,sell,-0.06397785295565395
2022-12-15,275454424537.50995,0,275454424537.50995,19.64,sell,0.0
2022-12-16,275454424537.50995,0,275454424537.50995,19.06,sell,0.0
2022-12-19,275454424537.50995,0,275454424537.50995,18.27,sell,0.0
2022-12-20,275454424537.50995,0,275454424537.50995,18.19,sell,0.0
2022-12-21,275454424537.50995,0,275454424537.50995,18.98,sell,0.0
2022-12-22,275454424537.50995,0,275454424537.50995,17.54,sell,0.0
2022-12-23,275454424537.50995,0,275454424537.50995,17.59,sell,0.0
2022-12-27,275454424537.50995,0,275454424537.50995,16.84,sell,0.0
2022-12-28,275454424537.50995,0,275454424537.50995,16.16,sell,0.0
2022-12-29,275454424537.50995,0,275454424537.50995,17.3,sell,0.0
