,date,cash,position,portfolio_value,close,volatility,ATR,rsi,signal
65,2010-07-30,74500.82304,53414,99605.40304,0.47,0.024898065565230193,0.02714285714285714,58.823529411764696,hold
66,2010-08-02,74500.82304,53414,100673.68304,0.49,0.02765259814065771,0.027857142857142855,58.823529411764696,buy
67,2010-08-03,74500.82304,53414,100673.68304,0.49,0.027619406692481276,0.027142857142857142,58.823529411764696,buy
68,2010-08-04,85622.75929,31159,101202.25929,0.5,0.027506317984040463,0.026428571428571433,61.11111111111109,buy
69,2010-08-05,92110.51379,18177,101199.01379,0.5,0.026064657660529986,0.025,73.33333333333331,buy
70,2010-08-06,95895.12054,10604,101197.12054,0.5,0.02659673671438338,0.025714285714285717,71.42857142857142,buy
71,2010-08-09,98192.03151,6098,101302.01151,0.51,0.027442028087159016,0.023571428571428573,71.42857142857142,buy
72,2010-08-10,99461.39651,3558,101240.39651,0.5,0.029109170525573977,0.02285714285714286,76.92307692307692,buy
73,2010-08-12,101061.69596000001,0,101061.69596000001,0.44,0.03373549710709661,0.024285714285714296,35.71428571428572,hold
74,2010-08-13,101061.69596000001,0,101061.69596000001,0.43,0.03340375455148097,0.02357142857142858,28.571428571428584,hold
75,2010-08-16,101061.69596000001,0,101061.69596000001,0.44,0.032235802527323734,0.02357142857142858,33.33333333333336,hold
76,2010-08-17,101061.69596000001,0,101061.69596000001,0.45,0.03383636491082569,0.02357142857142858,40.00000000000001,hold
77,2010-08-18,75176.98007,56243,101048.76007,0.46,0.0325988495286245,0.022857142857142864,46.666666666666686,buy
78,2010-08-19,75176.98007,56243,99923.90007,0.44,0.03370343368491223,0.02285714285714287,41.17647058823531,hold
79,2010-08-20,99911.52661,0,99911.52661,0.44,0.03325595086665497,0.02142857142857144,33.33333333333336,sell
80,2010-08-23,99911.52661,0,99911.52661,0.43,0.03278325897395408,0.022142857142857155,31.250000000000014,hold
81,2010-08-24,99911.52661,0,99911.52661,0.4,0.03521101592528514,0.02357142857142858,22.222222222222243,hold
82,2010-08-25,99911.52661,0,99911.52661,0.41,0.035294350822585835,0.025000000000000005,26.315789473684205,hold
83,2010-08-26,99911.52661,0,99911.52661,0.4,0.03593235031894184,0.02428571428571429,25.0,hold
84,2010-08-27,99911.52661,0,99911.52661,0.41,0.03600782219276145,0.025714285714285714,24.999999999999986,hold
85,2010-08-30,99911.52661,0,99911.52661,0.4,0.032779262346361485,0.024999999999999994,24.999999999999986,hold
86,2010-08-31,99911.52661,0,99911.52661,0.4,0.032905471824243054,0.02285714285714285,33.33333333333333,hold
87,2010-09-01,99911.52661,0,99911.52661,0.43,0.034927814243338205,0.02357142857142856,47.058823529411754,hold
88,2010-09-02,99911.52661,0,99911.52661,0.45,0.0370663450609149,0.024285714285714275,55.55555555555557,hold
89,2010-09-03,99911.52661,0,99911.52661,0.47,0.038596740266581,0.02428571428571427,57.89473684210526,hold
90,2010-09-07,99911.52661,0,99911.52661,0.46,0.03724441936682561,0.023571428571428552,52.63157894736843,hold
91,2010-09-08,99911.52661,0,99911.52661,0.47,0.03674328451367682,0.022857142857142836,52.63157894736841,hold
92,2010-09-09,74321.45797,53286,99898.73797,0.48,0.035148666004719074,0.022142857142857124,61.11111111111112,buy
93,2010-09-10,74321.45797,53286,99898.73797,0.48,0.033872435743996246,0.022857142857142836,61.11111111111112,buy
94,2010-09-13,85865.14324,30640,101491.54324,0.51,0.0361990834222026,0.023571428571428552,70.00000000000003,hold
95,2010-09-14,92503.04263000001,17618,101488.22263,0.51,0.03553328137595777,0.022857142857142843,82.35294117647064,hold
96,2010-09-15,96470.73779000001,9984,101662.41779,0.52,0.03446662031534636,0.02214285714285713,82.35294117647064,hold
97,2010-09-16,98806.33940500002,5575,101761.08940500002,0.53,0.035069900325679804,0.02142857142857142,88.2352941176471,hold
98,2010-09-17,100110.54697500002,3113,101760.43697500002,0.53,0.03299138423272793,0.019999999999999993,87.50000000000006,hold
99,2010-09-20,100923.26041500003,1661,101853.42041500003,0.56,0.03293185654691456,0.020714285714285713,94.44444444444447,hold
100,2010-09-21,101357.04341500002,886,101853.20341500003,0.56,0.0328416818929238,0.02071428571428571,94.44444444444447,buy
101,2010-09-22,101588.20777500002,473,101853.08777500002,0.56,0.027035554343325427,0.019285714285714274,93.33333333333336,buy
102,2010-09-23,101711.34617500001,253,101853.026175,0.56,0.025628699636463297,0.019999999999999983,92.30769230769234,buy
103,2010-09-24,101784.46959500002,129,101860.57959500002,0.59,0.02590916120438474,0.020714285714285692,92.85714285714289,buy
104,2010-09-27,101820.41161500002,67,101859.27161500002,0.58,0.02393776272670517,0.020714285714285696,92.85714285714285,buy
105,2010-09-28,101838.96233500002,35,101859.26233500002,0.58,0.02526737813885635,0.022142857142857124,92.3076923076923,buy
106,2010-09-29,101848.23769500002,19,101859.25769500002,0.58,0.023661864834816398,0.022142857142857124,91.66666666666666,buy
107,2010-09-30,101853.36513000002,10,101859.06513000002,0.57,0.022842750963870232,0.023571428571428545,84.6153846153846,buy
108,2010-10-01,101855.64399000003,6,101859.06399000002,0.57,0.022798183071792245,0.022857142857142822,79.99999999999997,hold
109,2010-10-04,101856.74344000002,4,101858.94344000002,0.55,0.022466955793974133,0.023571428571428528,66.66666666666669,buy
110,2010-10-05,101857.33314500003,3,101859.10314500003,0.59,0.023032509554331424,0.02499999999999995,73.33333333333334,buy
111,2010-10-06,101857.90286000003,2,101859.04286000003,0.57,0.023056944168371365,0.026428571428571374,62.49999999999999,buy
112,2010-10-07,101857.90286000003,2,101859.06286000003,0.58,0.02190916432964196,0.026428571428571374,64.70588235294117,buy
113,2010-10-08,101857.90286000003,2,101859.08286000002,0.59,0.020870180216437318,0.026428571428571374,59.999999999999986,buy
114,2010-10-11,101857.90286000003,2,101859.08286000002,0.59,0.01700741643314982,0.025714285714285665,59.999999999999986,buy
115,2010-10-12,101858.50256000004,1,101859.10256000004,0.6,0.01700741643314982,0.027142857142857104,62.49999999999999,buy
116,2010-10-13,101858.50256000004,1,101859.12256000003,0.62,0.019459207773821076,0.02714285714285711,66.66666666666666,buy
117,2010-10-14,101858.50256000004,1,101859.12256000003,0.62,0.01830063725680723,0.02571428571428569,60.000000000000014,buy
118,2010-10-15,101858.50256000004,1,101859.15256000003,0.65,0.018951373644994107,0.027142857142857118,70.58823529411768,buy
119,2010-10-18,101858.50256000004,1,101859.15256000003,0.65,0.019504322411829096,0.024999999999999984,70.58823529411768,buy
120,2010-10-19,101858.50256000004,1,101859.13256000004,0.63,0.02288321941836277,0.026428571428571412,63.15789473684212,buy
121,2010-10-20,101858.50256000004,1,101859.14256000004,0.64,0.022933755997693903,0.025714285714285707,68.42105263157896,buy
122,2010-10-21,101858.50256000004,1,101859.15256000003,0.65,0.022950758367203457,0.02642857142857143,70.00000000000003,buy
123,2010-10-22,101858.50256000004,1,101859.16256000004,0.66,0.022029621285296373,0.02571428571428572,78.94736842105262,buy
124,2010-10-25,101858.50256000004,1,101859.17256000004,0.67,0.02259519751086425,0.0242857142857143,75.0,buy
125,2010-10-26,101858.50256000004,1,101859.17256000004,0.67,0.02197401530315953,0.024285714285714306,85.71428571428571,buy
126,2010-10-27,101858.50256000004,1,101859.18256000003,0.68,0.02197401530315953,0.025000000000000022,85.71428571428571,buy
127,2010-10-28,101858.50256000004,1,101859.18256000003,0.68,0.021960520246933943,0.0242857142857143,84.61538461538461,buy
128,2010-10-29,101858.50256000004,1,101859.18256000003,0.68,0.021235127662865276,0.024285714285714292,84.61538461538461,buy
