,date,cash,position,portfolio_value,close,signal
1466,2015-12-18,46706905.71,0,46706905.71,4.53,sell
1467,2015-12-21,1401208.3500000015,9558164,46037834.230000004,4.67,buy
1468,2015-12-22,1401208.3500000015,9558164,46802487.35,4.75,buy
1469,2015-12-23,1401208.3500000015,9558164,47853885.39000001,4.86,buy
1470,2015-12-24,1401208.3500000015,9558164,47758303.75,4.85,hold
1471,2015-12-28,1401208.3500000015,9558164,47758303.75,4.85,buy
1472,2015-12-29,1401208.3500000015,9558164,49861099.830000006,5.07,hold
1473,2015-12-30,48140630.309999995,0,48140630.309999995,4.94,sell
1474,2015-12-31,48140630.309999995,0,48140630.309999995,4.76,sell
1475,2016-01-04,48140630.309999995,0,48140630.309999995,4.47,sell
1476,2016-01-05,48140630.309999995,0,48140630.309999995,4.43,sell
1477,2016-01-06,48140630.309999995,0,48140630.309999995,4.31,sell
1478,2016-01-07,48140630.309999995,0,48140630.309999995,3.9,sell
1479,2016-01-08,48140630.309999995,0,48140630.309999995,3.81,sell
1480,2016-01-11,48140630.309999995,0,48140630.309999995,3.84,sell
1481,2016-01-12,48140630.309999995,0,48140630.309999995,3.97,sell
1482,2016-01-13,48140630.309999995,0,48140630.309999995,3.56,sell
1483,2016-01-14,48140630.309999995,0,48140630.309999995,3.79,sell
1484,2016-01-15,48140630.309999995,0,48140630.309999995,3.44,sell
1485,2016-01-19,48140630.309999995,0,48140630.309999995,3.45,sell
1486,2016-01-20,1444221.1899999976,13496072,47600787.43,3.42,buy
1487,2016-01-21,1444221.1899999976,13496072,47735748.15,3.43,buy
1488,2016-01-22,1444221.1899999976,13496072,51784569.75,3.73,buy
1489,2016-01-25,1444221.1899999976,13496072,49490237.51,3.56,hold
1490,2016-01-26,50030080.39,0,50030080.39,3.66,sell
1491,2016-01-27,50030080.39,0,50030080.39,3.39,sell
1492,2016-01-28,1500904.1300000027,13747642,49892603.970000006,3.52,buy
1493,2016-01-29,1500904.1300000027,13747642,53054561.63,3.75,buy
1494,2016-02-01,1500904.1300000027,13747642,53329514.470000006,3.77,hold
1495,2016-02-02,50992415.330000006,0,50992415.330000006,3.54,sell
1496,2016-02-03,50992415.330000006,0,50992415.330000006,3.49,sell
1497,2016-02-04,50992415.330000006,0,50992415.330000006,3.48,sell
1498,2016-02-05,50992415.330000006,0,50992415.330000006,3.12,sell
1499,2016-02-08,50992415.330000006,0,50992415.330000006,2.98,sell
1500,2016-02-09,50992415.330000006,0,50992415.330000006,2.94,sell
1501,2016-02-10,50992415.330000006,0,50992415.330000006,2.98,sell
1502,2016-02-11,1529773.6100000069,16164262,49537631.75000001,2.97,buy
1503,2016-02-12,1529773.6100000069,16164262,51638985.81000001,3.1,buy
1504,2016-02-16,1529773.6100000069,16164262,54871838.21,3.3,buy
1505,2016-02-17,1529773.6100000069,16164262,58589618.470000006,3.53,buy
1506,2016-02-18,1529773.6100000069,16164262,56649907.03000001,3.41,hold
1507,2016-02-19,1529773.6100000069,16164262,57296477.51000001,3.45,buy
1508,2016-02-22,1529773.6100000069,16164262,59882759.43000001,3.61,buy
1509,2016-02-23,1529773.6100000069,16164262,56973192.27000001,3.43,hold
1510,2016-02-24,1529773.6100000069,16164262,58589618.470000006,3.53,buy
1511,2016-02-25,1529773.6100000069,16164262,60206044.67,3.63,buy
1512,2016-02-26,1529773.6100000069,16164262,60044402.05000001,3.62,buy
1513,2016-02-27,1529773.6100000069,16164262,59317010.26000001,3.575,hold
1514,2016-02-29,1529773.6100000069,16164262,58589618.470000006,3.53,buy
1515,2016-03-01,1529773.6100000069,16164262,63923824.93000001,3.86,buy
1516,2016-03-02,1529773.6100000069,16164262,64085467.55000001,3.87,buy
1517,2016-03-03,1529773.6100000069,16164262,63762182.31000001,3.85,buy
1518,2016-03-04,1529773.6100000069,16164262,63762182.31000001,3.85,hold
1519,2016-03-07,61337543.01000001,0,61337543.01000001,3.78,sell
1520,2016-03-08,61337543.01000001,0,61337543.01000001,3.68,sell
1521,2016-03-09,1840129.6200000122,15616119,60400575.87000001,3.75,buy
1522,2016-03-10,1840129.6200000122,15616119,60244414.680000015,3.74,buy
1523,2016-03-11,1840129.6200000122,15616119,63211477.290000014,3.93,buy
1524,2016-03-14,1840129.6200000122,15616119,63523799.67000002,3.95,buy
1525,2016-03-15,1840129.6200000122,15616119,63523799.67000002,3.95,buy
1526,2016-03-16,1840129.6200000122,15616119,65085411.57000001,4.05,buy
1527,2016-03-17,1840129.6200000122,15616119,64929250.38000001,4.04,buy
1528,2016-03-18,1840129.6200000122,15616119,65241572.760000005,4.06,buy
1529,2016-03-21,1840129.6200000122,15616119,66022378.710000016,4.11,buy
1530,2016-03-22,1840129.6200000122,15616119,66647023.47000002,4.15,hold
1531,2016-03-23,64148444.430000015,0,64148444.430000015,4.05,sell
1532,2016-03-24,1924456.4200000167,15213689,63539896.87000001,4.05,buy
1533,2016-03-28,1924456.4200000167,15213689,63387759.98000002,4.04,buy
1534,2016-03-29,1924456.4200000167,15213689,66278360.89000002,4.23,buy
